,rank,exchangeId,exchangeName,exchangeSlug,volumePercent,volumeQuote,isVerified,marketUrl,effectiveLiquidity,lastUpdated,marketPair,price
13,14,294,OKX,okx,0.350468288964,115138167.987901,1,https://www.okx.com/trade-spot/btc-usdc,699.0,2024-02-21T09:26:29.000Z,BTC/USDC,51467.4485176
14,15,89,Coinbase Exchange,coinbase-exchange,0.164829230531,54161283.92883017,1,https://exchange.coinbase.com/trade/BTC-USDT,728.0,2024-02-21T09:26:22.000Z,BTC/USDT,51467.72148999
15,16,89,Coinbase Exchange,coinbase-exchange,0.088853745857,27039847.75061357,1,https://exchange.coinbase.com/trade/BTC-EUR,733.0,2024-02-21T09:26:22.000Z,BTC/EUR,51483.96631123
16,17,270,Binance,binance,0.083302469848,532.3983413,1,https://www.binance.com/en/trade/SOL_BTC,752.0,2024-02-21T09:26:29.000Z,SOL/BTC,51457.789532812036
17,18,24,Kraken,kraken,0.058059487395,19073406.78278077,1,https://pro.kraken.com/app/trade/xbt-usdt,739.0,2024-02-21T09:26:29.000Z,XBT/USDT,51462.84228239
18,19,270,Binance,binance,0.055652162713,355.68116014,1,https://www.binance.com/en/trade/WBTC_BTC,800.0,2024-02-21T09:26:29.000Z,WBTC/BTC,51457.78953101031
19,20,270,Binance,binance,0.035832084192,364477563.47763,1,https://www.binance.com/en/trade/BTC_TRY,756.0,2024-02-21T09:26:29.000Z,BTC/TRY,52103.78092775
20,21,70,Bitstamp,bitstamp,0.380102251955,124864996.85470188,1,https://www.bitstamp.net/markets/BTC/USD/,623.0,2024-02-21T09:26:22.000Z,BTC/USD,51492.0
21,22,139,bitFlyer,bitflyer,0.310958981464,15331382030.946968,1,https://bitflyer.jp/,580.0,2024-02-21T09:26:22.000Z,BTC/JPY,51589.88657372
22,23,102,HTX,htx,0.249625124284,82005573.1168628,1,https://www.huobi.com/en-us/exchange/btc_usdt,672.0,2024-02-21T09:26:29.000Z,BTC/USDT,51461.94242853
23,24,151,Gemini,gemini,0.131394233328,43163492.05205477,1,https://exchange.gemini.com/trade/BTCUSD,732.0,2024-02-21T09:26:22.000Z,BTC/USD,51479.9
24,25,311,KuCoin,kucoin,0.110099887847,36170745.77526081,1,https://www.kucoin.com/trade/BTC-USDC,671.0,2024-02-21T09:26:29.000Z,BTC/USDC,51442.35965702
25,26,89,Coinbase Exchange,coinbase-exchange,0.078366716565,500.85321586,1,https://exchange.coinbase.com/trade/ETH-BTC,648.0,2024-02-21T09:26:22.000Z,ETH/BTC,51457.78953099683
26,27,270,Binance,binance,0.071980978255,460.04102277,1,https://www.binance.com/en/trade/BNB_BTC,736.0,2024-02-21T09:26:22.000Z,BNB/BTC,51457.789530410184
27,28,270,Binance,binance,0.052834919846,16078648.9614464,1,https://www.binance.com/en/trade/BTC_EUR,764.0,2024-02-21T09:26:29.000Z,BTC/EUR,51488.02014933
28,29,270,Binance,binance,0.034194908747,55355860.13125,1,https://www.binance.com/en/trade/BTC_BRL,685.0,2024-02-21T09:26:29.000Z,BTC/BRL,51962.41959376
29,30,24,Kraken,kraken,0.020410477334,5317482.22128693,1,https://pro.kraken.com/app/trade/xbt-gbp,703.0,2024-02-21T09:26:29.000Z,XBT/GBP,51472.53268058
30,31,294,OKX,okx,0.211747833,1353.31155569,1,https://www.okx.com/trade-spot/eth-btc,578.0,2024-02-21T09:26:22.000Z,ETH/BTC,51457.78953107941
31,32,270,Binance,binance,0.042221481212,269.84369858,1,https://www.binance.com/en/trade/XRP_BTC,617.0,2024-02-21T09:26:22.000Z,XRP/BTC,51457.78962264151
32,33,70,Bitstamp,bitstamp,0.037866372011,11523030.91062513,1,https://www.bitstamp.net/markets/BTC/EUR/,626.0,2024-02-21T09:26:22.000Z,BTC/EUR,51488.51097087
33,34,24,Kraken,kraken,0.031291519776,199.69208857,1,https://pro.kraken.com/app/trade/eth-xbt,654.0,2024-02-21T09:26:29.000Z,ETH/XBT,51457.789530985916
34,35,89,Coinbase Exchange,coinbase-exchange,0.03043308055,7929281.682202,1,https://exchange.coinbase.com/trade/BTC-GBP,687.0,2024-02-21T09:26:22.000Z,BTC/GBP,51484.35677621
35,36,270,Binance,binance,0.022100190529,141.24556933,1,https://www.binance.com/en/trade/MATIC_BTC,596.0,2024-02-21T09:26:22.000Z,MATIC/BTC,51457.78955780501
36,37,270,Binance,binance,0.014552676568,93.00829712,1,https://www.binance.com/en/trade/LINK_BTC,617.0,2024-02-21T09:26:22.000Z,LINK/BTC,51457.78953038674
37,38,70,Bitstamp,bitstamp,0.013844417098,4548097.31940566,1,https://www.bitstamp.net/markets/BTC/USDT/,618.0,2024-02-21T09:26:22.000Z,BTC/USDT,51473.64052872
38,39,270,Binance,binance,0.013502488117,86.29638821,1,https://www.binance.com/en/trade/AVAX_BTC,635.0,2024-02-21T09:26:29.000Z,AVAX/BTC,51457.789535853255
39,40,24,Kraken,kraken,0.010557368626,3468091.53128502,1,https://pro.kraken.com/app/trade/xbt-usdc,726.0,2024-02-21T09:26:29.000Z,XBT/USDC,51445.07844988
40,41,477,ProBit Global,probit-exchange,0.180418482226,59283760.59491117,1,https://www.probit.com/app/exchange/BTC-USDT,592.0,2024-02-21T09:26:22.000Z,BTC/USDT,51453.34382497
41,42,270,Binance,binance,0.033350763186,213.1496345,1,https://www.binance.com/en/trade/WLD_BTC,549.0,2024-02-21T09:26:29.000Z,WLD/BTC,51457.78953330313
42,43,521,Bybit,bybit,0.022751771584,145.19425131,1,https://www.bybit.com/en-US/trade/spot/ETH/BTC,577.0,2024-02-21T09:26:29.000Z,ETH/BTC,51457.78953095586
43,44,270,Binance,binance,0.021343222621,136.40767605,1,https://www.binance.com/en/trade/ADA_BTC,583.0,2024-02-21T09:26:22.000Z,ADA/BTC,51457.789382071365
44,45,70,Bitstamp,bitstamp,0.016730341164,4359058.80473004,1,https://www.bitstamp.net/markets/BTC/GBP/,598.0,2024-02-21T09:26:29.000Z,BTC/GBP,51472.15454251
45,46,270,Binance,binance,0.016079594192,102.76705231,1,https://www.binance.com/en/trade/LTC_BTC,577.0,2024-02-21T09:26:22.000Z,LTC/BTC,51457.78953418483
46,47,270,Binance,binance,0.015576930821,99.55445675,1,https://www.binance.com/en/trade/SEI_BTC,618.0,2024-02-21T09:26:22.000Z,SEI/BTC,51457.7897223863
50,51,294,OKX,okx,0.015900729298,101.62390046,1,https://www.okx.com/trade-spot/sol-btc,590.0,2024-02-21T09:26:29.000Z,SOL/BTC,51457.78953258071
51,52,270,Binance,binance,0.010632390146,67.95316979,1,https://www.binance.com/en/trade/OP_BTC,594.0,2024-02-21T09:26:29.000Z,OP/BTC,51457.78948094975
60,61,270,Binance,binance,0.019060096442,121.81588072,1,https://www.binance.com/en/trade/FET_BTC,528.0,2024-02-21T09:26:22.000Z,FET/BTC,51457.78941961993
61,62,102,HTX,htx,0.011525962508,73.55486542,1,https://www.huobi.com/en-us/exchange/eth_btc,545.0,2024-02-21T09:26:29.000Z,ETH/BTC,51457.78953108767
62,63,270,Binance,binance,0.010838204673,69.26856072,1,https://www.binance.com/en/trade/RNDR_BTC,533.0,2024-02-21T09:26:29.000Z,RNDR/BTC,51457.78952618454
70,71,477,ProBit Global,probit-exchange,0.096839217459,618.91368698,1,https://www.probit.com/app/exchange/ETH-BTC,494.0,2024-02-21T09:26:22.000Z,ETH/BTC,51457.789530985916
71,72,102,HTX,htx,0.026886120906,8832806.85567153,1,https://www.huobi.com/en-us/exchange/btc_usdc,460.0,2024-02-21T09:26:22.000Z,BTC/USDC,51449.1766303
72,73,270,Binance,binance,0.016874610594,107.84811911,1,https://www.binance.com/en/trade/FIL_BTC,511.0,2024-02-21T09:26:29.000Z,FIL/BTC,51457.78949964764
